,counts,id,time,var1,var2,var3,var4,var5,var6
51304,0,CT0010100,2014,23901,64,48,1,0.184262666,0
46789,0,CT0010100,2015,23865,36,48,1,0.184262666,0
42274,0,CT0010100,2016,23777,63,49,1,0.184262666,0
55820,0,CT0010300,2013,87590,1078,177,1,0.184262666,0
51305,0,CT0010300,2014,88232,1139,176,1,0.184262666,0
46790,0,CT0010300,2015,88692,984,172,1,0.184262666,0
42275,0,CT0010300,2016,88989,1156,177,1,0.184262666,0
55821,1,CT0010400,2013,40485,831,88,1,0.184262666,0
51306,0,CT0010400,2014,40296,848,91,1,0.184262666,0
46791,0,CT0010400,2015,40085,785,88,1,0.184262666,0
42276,0,CT0010400,2016,39771,666,88,1,0.184262666,0
55822,0,CT0010600,2013,10239,35,25,1,0.184262666,0
51307,0,CT0010600,2014,10249,52,25,1,0.184262666,0
46792,0,CT0010600,2015,10213,49,23,1,0.184262666,0
42277,0,CT0010600,2016,10145,51,25,1,0.184262666,0
55823,0,CT0010700,2013,13926,41,42,1,0.184262666,0
51308,0,CT0010700,2014,13951,39,47,1,0.184262666,0
46793,0,CT0010700,2015,13954,33,45,1,0.184262666,0
42278,0,CT0010700,2016,13940,58,43,1,0.184262666,0
55824,0,CT0010900,2013,15224,116,15,1,0.184262666,0
51309,0,CT0010900,2014,15186,132,18,1,0.184262666,0
46794,0,CT0010900,2015,15071,121,18,1,0.184262666,0
42279,0,CT0010900,2016,15015,100,18,1,0.184262666,0
55825,0,CT0011000,2013,17850,100,35,1,0.184262666,0
51310,0,CT0011000,2014,17844,110,35,1,0.184262666,0
46795,0,CT0011000,2015,17820,107,33,1,0.184262666,0
42280,0,CT0011000,2016,17782,92,37,1,0.184262666,0
55826,0,CT0011100,2013,12043,53,25,1,0.184262666,0
51311,0,CT0011100,2014,12002,48,22,1,0.184262666,0
46796,0,CT0011100,2015,11837,49,24,1,0.184262666,0
42281,0,CT0011100,2016,11731,90,24,1,0.184262666,0
55827,0,CT0011300,2013,9463,10,11,1,0.184262666,0
51312,0,CT0011300,2014,9445,3,11,1,0.184262666,0
46797,0,CT0011300,2015,9430,4,10,1,0.184262666,0
42282,0,CT0011300,2016,9369,9,11,1,0.184262666,0
55829,0,CT0011600,2013,9461,183,15,1,0.184262666,0
51314,0,CT0011600,2014,9436,217,15,1,0.184262666,0
46799,0,CT0011600,2015,9375,152,15,1,0.184262666,0
42284,0,CT0011600,2016,9331,141,15,1,0.184262666,0
55830,0,CT0011700,2013,9341,5,17,1,0.184262666,0
51315,0,CT0011700,2014,9348,8,17,1,0.184262666,0
46800,0,CT0011700,2015,9344,0,17,1,0.184262666,0
42285,0,CT0011700,2016,9317,4,17,1,0.184262666,0
55831,1,CT0011800,2013,25168,34,42,1,0.184262666,0
51316,0,CT0011800,2014,25288,25,42,1,0.184262666,0
46801,0,CT0011800,2015,25339,36,42,1,0.184262666,0
42286,0,CT0011800,2016,25358,45,42,1,0.184262666,0
55832,0,CT0011900,2013,19731,30,35,1,0.184262666,0
51317,0,CT0011900,2014,19964,29,37,1,0.184262666,0
46802,0,CT0011900,2015,20189,31,36,1,0.184262666,0
42287,0,CT0011900,2016,20085,57,36,1,0.184262666,0
55833,0,CT0012400,2013,16568,116,37,1,0.184262666,0
51318,0,CT0012400,2014,16579,97,40,1,0.184262666,0
46803,0,CT0012400,2015,16537,110,43,1,0.184262666,0
42288,0,CT0012400,2016,16462,89,41,1,0.184262666,0
55834,0,CT0012600,2013,40475,188,53,1,0.184262666,0
51319,0,CT0012600,2014,41353,228,50,1,0.184262666,0
46804,0,CT0012600,2015,41724,213,48,1,0.184262666,0
42289,0,CT0012600,2016,41638,215,52,1,0.184262666,0
55835,0,CT0012800,2013,23651,79,36,1,0.184262666,0
51320,0,CT0012800,2014,23903,79,36,1,0.184262666,0
46805,0,CT0012800,2015,24093,66,36,1,0.184262666,0
42290,0,CT0012800,2016,24519,67,37,1,0.184262666,0
